LSOA code (2011),LSOA name (2011),Local Authority District code (2019),Local Authority District name (2019),IMD,Index of Multiple Deprivation (IMD) Rank (where 1 is most deprived),Index of Multiple Deprivation (IMD) Decile (where 1 is most deprived 10% of LSOAs),Income Score (rate),Income Rank (where 1 is most deprived),Income Decile (where 1 is most deprived 10% of LSOAs),Employment Score (rate),Employment Rank (where 1 is most deprived),Employment Decile (where 1 is most deprived 10% of LSOAs),"Education, Skills and Training Score","Education, Skills and Training Rank (where 1 is most deprived)","Education, Skills and Training Decile (where 1 is most deprived 10% of LSOAs)",Health Deprivation and Disability Score,Health Deprivation and Disability Rank (where 1 is most deprived),Health Deprivation and Disability Decile (where 1 is most deprived 10% of LSOAs),Crime Score,Crime Rank (where 1 is most deprived),Crime Decile (where 1 is most deprived 10% of LSOAs),Barriers to Housing and Services Score,Barriers to Housing and Services Rank (where 1 is most deprived),Barriers to Housing and Services Decile (where 1 is most deprived 10% of LSOAs),Living Environment Score,Living Environment Rank (where 1 is most deprived),Living Environment Decile (where 1 is most deprived 10% of LSOAs)
E01000813,Bromley 025D,E09000006,Bromley,3.26 ,32063.00 ,10.00 ,0.03 ,30905.00 ,10.00 ,0.03 ,30361.00 ,10.00 ,5.80 ,26390.00 ,9.00 ,-1.54 ,31815.00 ,10.00 ,-0.54 ,24327.00 ,8.00 ,11.12 ,27513.00 ,9.00 ,11.19 ,22793.00 ,7.00 
E01000814,Bromley 028E,E09000006,Bromley,4.28 ,31234.00 ,10.00 ,0.02 ,32379.00 ,10.00 ,0.02 ,32245.00 ,10.00 ,0.82 ,32215.00 ,10.00 ,-1.91 ,32527.00 ,10.00 ,-0.16 ,18961.00 ,6.00 ,23.46 ,12712.00 ,4.00 ,12.45 ,21563.00 ,7.00 
E01000815,Bromley 025E,E09000006,Bromley,2.59 ,32451.00 ,10.00 ,0.01 ,32719.00 ,10.00 ,0.02 ,32590.00 ,10.00 ,2.39 ,30423.00 ,10.00 ,-2.04 ,32634.00 ,10.00 ,-0.74 ,26669.00 ,9.00 ,17.67 ,19570.00 ,6.00 ,10.94 ,23064.00 ,8.00 
E01000816,Bromley 040A,E09000006,Bromley,14.08 ,19874.00 ,7.00 ,0.08 ,18903.00 ,6.00 ,0.06 ,20362.00 ,7.00 ,14.05 ,18125.00 ,6.00 ,-1.02 ,28976.00 ,9.00 ,0.36 ,10975.00 ,4.00 ,27.11 ,9164.00 ,3.00 ,20.82 ,14677.00 ,5.00 
E01000818,Bromley 040B,E09000006,Bromley,13.45 ,20548.00 ,7.00 ,0.07 ,22262.00 ,7.00 ,0.06 ,22476.00 ,7.00 ,10.10 ,21734.00 ,7.00 ,-1.38 ,31275.00 ,10.00 ,0.57 ,8073.00 ,3.00 ,32.85 ,5170.00 ,2.00 ,17.92 ,16880.00 ,6.00 
E01000819,Bromley 040C,E09000006,Bromley,26.54 ,9866.00 ,4.00 ,0.19 ,7069.00 ,3.00 ,0.12 ,9650.00 ,3.00 ,16.00 ,16581.00 ,6.00 ,-0.25 ,19828.00 ,7.00 ,0.64 ,7176.00 ,3.00 ,32.70 ,5262.00 ,2.00 ,24.47 ,12117.00 ,4.00 
E01000820,Bromley 008C,E09000006,Bromley,21.13 ,13461.00 ,5.00 ,0.14 ,11662.00 ,4.00 ,0.13 ,8883.00 ,3.00 ,6.87 ,25186.00 ,8.00 ,-0.11 ,17666.00 ,6.00 ,0.61 ,7620.00 ,3.00 ,22.75 ,13480.00 ,5.00 ,20.86 ,14650.00 ,5.00 
E01000822,Bromley 008D,E09000006,Bromley,13.28 ,20757.00 ,7.00 ,0.10 ,16093.00 ,5.00 ,0.07 ,19818.00 ,7.00 ,6.93 ,25117.00 ,8.00 ,-0.18 ,18773.00 ,6.00 ,-0.10 ,18064.00 ,6.00 ,20.77 ,15744.00 ,5.00 ,21.48 ,14204.00 ,5.00 
E01000823,Bromley 008E,E09000006,Bromley,11.57 ,22675.00 ,7.00 ,0.06 ,23310.00 ,8.00 ,0.06 ,22919.00 ,7.00 ,1.88 ,31023.00 ,10.00 ,-0.77 ,26726.00 ,9.00 ,0.69 ,6665.00 ,3.00 ,24.93 ,11195.00 ,4.00 ,20.19 ,15130.00 ,5.00 
E01000824,Bromley 008F,E09000006,Bromley,15.42 ,18531.00 ,6.00 ,0.11 ,15600.00 ,5.00 ,0.07 ,17648.00 ,6.00 ,3.17 ,29539.00 ,9.00 ,-0.43 ,22560.00 ,7.00 ,0.31 ,11845.00 ,4.00 ,25.34 ,10803.00 ,4.00 ,28.48 ,9675.00 ,3.00 
E01000825,Bromley 008G,E09000006,Bromley,17.00 ,16991.00 ,6.00 ,0.10 ,15863.00 ,5.00 ,0.09 ,14445.00 ,5.00 ,7.19 ,24827.00 ,8.00 ,-0.42 ,22388.00 ,7.00 ,-0.45 ,23156.00 ,8.00 ,30.08 ,6920.00 ,3.00 ,32.96 ,7222.00 ,3.00 
E01000826,Bromley 021A,E09000006,Bromley,4.32 ,31197.00 ,10.00 ,0.02 ,32388.00 ,10.00 ,0.02 ,32157.00 ,10.00 ,1.20 ,31793.00 ,10.00 ,-1.60 ,31981.00 ,10.00 ,-0.93 ,28545.00 ,9.00 ,26.57 ,9655.00 ,3.00 ,14.79 ,19405.00 ,6.00 
E01000827,Bromley 021B,E09000006,Bromley,5.20 ,30326.00 ,10.00 ,0.05 ,26147.00 ,8.00 ,0.03 ,29788.00 ,10.00 ,3.40 ,29253.00 ,9.00 ,-1.73 ,32270.00 ,10.00 ,-0.98 ,28895.00 ,9.00 ,23.34 ,12838.00 ,4.00 ,12.46 ,21548.00 ,7.00 
E01000828,Bromley 011E,E09000006,Bromley,10.10 ,24387.00 ,8.00 ,0.07 ,21571.00 ,7.00 ,0.06 ,21736.00 ,7.00 ,2.53 ,30286.00 ,10.00 ,-1.15 ,29956.00 ,10.00 ,-0.49 ,23672.00 ,8.00 ,30.70 ,6474.00 ,2.00 ,16.56 ,17936.00 ,6.00 
E01000829,Bromley 018E,E09000006,Bromley,6.09 ,29353.00 ,9.00 ,0.05 ,26365.00 ,9.00 ,0.04 ,29083.00 ,9.00 ,3.39 ,29272.00 ,9.00 ,-1.49 ,31675.00 ,10.00 ,-0.92 ,28464.00 ,9.00 ,24.94 ,11176.00 ,4.00 ,17.13 ,17483.00 ,6.00 
E01000830,Bromley 021C,E09000006,Bromley,3.75 ,31714.00 ,10.00 ,0.01 ,32782.00 ,10.00 ,0.01 ,32644.00 ,10.00 ,1.16 ,31840.00 ,10.00 ,-1.94 ,32555.00 ,10.00 ,-0.71 ,26305.00 ,9.00 ,23.71 ,12424.00 ,4.00 ,14.52 ,19633.00 ,6.00 
E01000831,Bromley 021D,E09000006,Bromley,8.15 ,26887.00 ,9.00 ,0.07 ,21908.00 ,7.00 ,0.05 ,24785.00 ,8.00 ,1.49 ,31470.00 ,10.00 ,-1.26 ,30665.00 ,10.00 ,-1.15 ,30191.00 ,10.00 ,28.19 ,8273.00 ,3.00 ,16.52 ,17968.00 ,6.00 
E01000832,Bromley 030A,E09000006,Bromley,6.00 ,29475.00 ,9.00 ,0.03 ,29963.00 ,10.00 ,0.03 ,29611.00 ,10.00 ,2.27 ,30563.00 ,10.00 ,-1.40 ,31338.00 ,10.00 ,-0.42 ,22685.00 ,7.00 ,28.80 ,7815.00 ,3.00 ,12.28 ,21729.00 ,7.00 
E01000833,Bromley 021E,E09000006,Bromley,2.76 ,32354.00 ,10.00 ,0.02 ,32238.00 ,10.00 ,0.02 ,32394.00 ,10.00 ,2.37 ,30458.00 ,10.00 ,-1.84 ,32459.00 ,10.00 ,-1.16 ,30239.00 ,10.00 ,19.93 ,16745.00 ,6.00 ,10.86 ,23155.00 ,8.00 
E01000834,Bromley 027E,E09000006,Bromley,4.86 ,30642.00 ,10.00 ,0.04 ,29810.00 ,10.00 ,0.03 ,30384.00 ,10.00 ,4.99 ,27306.00 ,9.00 ,-1.53 ,31798.00 ,10.00 ,-1.08 ,29703.00 ,10.00 ,23.79 ,12356.00 ,4.00 ,14.13 ,19997.00 ,7.00 
E01000835,Bromley 030B,E09000006,Bromley,7.31 ,27931.00 ,9.00 ,0.07 ,21680.00 ,7.00 ,0.04 ,27253.00 ,9.00 ,6.22 ,25930.00 ,8.00 ,-1.21 ,30371.00 ,10.00 ,-0.63 ,25449.00 ,8.00 ,18.22 ,18842.00 ,6.00 ,19.68 ,15534.00 ,5.00 
E01000836,Bromley 030C,E09000006,Bromley,5.56 ,29957.00 ,10.00 ,0.03 ,30560.00 ,10.00 ,0.03 ,30765.00 ,10.00 ,4.06 ,28469.00 ,9.00 ,-1.54 ,31811.00 ,10.00 ,-1.07 ,29590.00 ,10.00 ,28.96 ,7699.00 ,3.00 ,14.58 ,19574.00 ,6.00 
E01000837,Bromley 030D,E09000006,Bromley,10.21 ,24247.00 ,8.00 ,0.06 ,23135.00 ,8.00 ,0.07 ,19046.00 ,6.00 ,6.42 ,25694.00 ,8.00 ,-0.59 ,24585.00 ,8.00 ,-0.33 ,21422.00 ,7.00 ,24.59 ,11543.00 ,4.00 ,12.97 ,21080.00 ,7.00 
E01000838,Bromley 030E,E09000006,Bromley,5.01 ,30500.00 ,10.00 ,0.02 ,32095.00 ,10.00 ,0.04 ,29203.00 ,9.00 ,5.41 ,26827.00 ,9.00 ,-1.13 ,29773.00 ,10.00 ,-0.46 ,23265.00 ,8.00 ,21.96 ,14374.00 ,5.00 ,12.69 ,21331.00 ,7.00 
E01000839,Bromley 030F,E09000006,Bromley,4.32 ,31198.00 ,10.00 ,0.01 ,32651.00 ,10.00 ,0.02 ,32136.00 ,10.00 ,3.03 ,29690.00 ,10.00 ,-1.66 ,32125.00 ,10.00 ,-0.37 ,22047.00 ,7.00 ,23.51 ,12665.00 ,4.00 ,13.31 ,20770.00 ,7.00 
E01000840,Bromley 030G,E09000006,Bromley,10.39 ,24041.00 ,8.00 ,0.05 ,25193.00 ,8.00 ,0.06 ,22036.00 ,7.00 ,4.22 ,28268.00 ,9.00 ,-0.64 ,25165.00 ,8.00 ,-1.08 ,29693.00 ,10.00 ,34.86 ,4144.00 ,2.00 ,16.52 ,17969.00 ,6.00 
E01000841,Bromley 030H,E09000006,Bromley,4.55 ,30964.00 ,10.00 ,0.04 ,29843.00 ,10.00 ,0.03 ,29714.00 ,10.00 ,5.33 ,26925.00 ,9.00 ,-1.51 ,31728.00 ,10.00 ,-0.78 ,27091.00 ,9.00 ,17.59 ,19670.00 ,6.00 ,17.42 ,17273.00 ,6.00 
E01000842,Camden 011A,E09000007,Camden,8.52 ,26391.00 ,9.00 ,0.05 ,25618.00 ,8.00 ,0.04 ,26950.00 ,9.00 ,5.41 ,26832.00 ,9.00 ,-1.46 ,31569.00 ,10.00 ,0.00 ,16679.00 ,6.00 ,20.65 ,15883.00 ,5.00 ,28.56 ,9631.00 ,3.00 
E01000843,Camden 014A,E09000007,Camden,13.57 ,20412.00 ,7.00 ,0.12 ,13210.00 ,5.00 ,0.05 ,23273.00 ,8.00 ,5.17 ,27116.00 ,9.00 ,-1.42 ,31419.00 ,10.00 ,0.04 ,16140.00 ,5.00 ,22.13 ,14183.00 ,5.00 ,33.51 ,6948.00 ,3.00 
E01000844,Camden 011B,E09000007,Camden,9.80 ,24762.00 ,8.00 ,0.05 ,25915.00 ,8.00 ,0.04 ,27271.00 ,9.00 ,1.37 ,31617.00 ,10.00 ,-1.24 ,30541.00 ,10.00 ,0.37 ,10865.00 ,4.00 ,19.61 ,17123.00 ,6.00 ,36.27 ,5694.00 ,2.00 
E01000845,Camden 014B,E09000007,Camden,11.31 ,22982.00 ,7.00 ,0.08 ,19846.00 ,7.00 ,0.05 ,24313.00 ,8.00 ,4.75 ,27601.00 ,9.00 ,-0.87 ,27737.00 ,9.00 ,0.62 ,7515.00 ,3.00 ,16.42 ,21142.00 ,7.00 ,25.21 ,11650.00 ,4.00 
E01000846,Camden 014C,E09000007,Camden,22.13 ,12675.00 ,4.00 ,0.17 ,8658.00 ,3.00 ,0.13 ,9008.00 ,3.00 ,7.14 ,24890.00 ,8.00 ,-0.46 ,22854.00 ,7.00 ,0.44 ,9870.00 ,4.00 ,21.46 ,14943.00 ,5.00 ,30.25 ,8661.00 ,3.00 
E01000847,Camden 014D,E09000007,Camden,17.13 ,16872.00 ,6.00 ,0.15 ,10258.00 ,4.00 ,0.09 ,14432.00 ,5.00 ,6.34 ,25791.00 ,8.00 ,-0.86 ,27589.00 ,9.00 ,0.19 ,13745.00 ,5.00 ,20.91 ,15599.00 ,5.00 ,27.41 ,10302.00 ,4.00 
E01000848,Camden 011C,E09000007,Camden,6.04 ,29434.00 ,9.00 ,0.04 ,27581.00 ,9.00 ,0.03 ,30998.00 ,10.00 ,4.63 ,27750.00 ,9.00 ,-2.09 ,32668.00 ,10.00 ,0.01 ,16558.00 ,6.00 ,16.56 ,20967.00 ,7.00 ,23.11 ,13049.00 ,4.00 
E01000849,Camden 011D,E09000007,Camden,7.69 ,27430.00 ,9.00 ,0.04 ,28141.00 ,9.00 ,0.03 ,30762.00 ,10.00 ,11.13 ,20773.00 ,7.00 ,-1.16 ,29985.00 ,10.00 ,-0.13 ,18614.00 ,6.00 ,18.64 ,18312.00 ,6.00 ,27.84 ,10051.00 ,4.00 
E01000850,Camden 026A,E09000007,Camden,14.25 ,19686.00 ,6.00 ,0.06 ,23331.00 ,8.00 ,0.04 ,28884.00 ,9.00 ,4.66 ,27718.00 ,9.00 ,-1.40 ,31342.00 ,10.00 ,0.39 ,10584.00 ,4.00 ,26.93 ,9335.00 ,3.00 ,53.26 ,1402.00 ,1.00 
E01000851,Camden 026B,E09000007,Camden,14.96 ,18953.00 ,6.00 ,0.04 ,27860.00 ,9.00 ,0.03 ,30738.00 ,10.00 ,6.94 ,25104.00 ,8.00 ,-1.23 ,30485.00 ,10.00 ,-0.07 ,17753.00 ,6.00 ,25.46 ,10685.00 ,4.00 ,73.95 ,45.00 ,1.00 
E01000852,Camden 026C,E09000007,Camden,14.63 ,19304.00 ,6.00 ,0.07 ,22053.00 ,7.00 ,0.04 ,26666.00 ,9.00 ,1.31 ,31671.00 ,10.00 ,-0.62 ,24947.00 ,8.00 ,0.49 ,9260.00 ,3.00 ,26.46 ,9742.00 ,3.00 ,48.18 ,2218.00 ,1.00 
E01000853,Camden 025A,E09000007,Camden,30.83 ,7640.00 ,3.00 ,0.23 ,5183.00 ,2.00 ,0.18 ,4520.00 ,2.00 ,11.13 ,20776.00 ,7.00 ,-0.04 ,16678.00 ,6.00 ,0.58 ,7949.00 ,3.00 ,21.21 ,15258.00 ,5.00 ,37.02 ,5384.00 ,2.00 
E01000854,Camden 026D,E09000007,Camden,15.83 ,18104.00 ,6.00 ,0.12 ,13625.00 ,5.00 ,0.06 ,21112.00 ,7.00 ,6.99 ,25059.00 ,8.00 ,-0.42 ,22350.00 ,7.00 ,-0.40 ,22453.00 ,7.00 ,26.29 ,9899.00 ,4.00 ,37.51 ,5165.00 ,2.00 
E01000855,Camden 028A,E09000007,Camden,14.66 ,19276.00 ,6.00 ,0.05 ,26530.00 ,9.00 ,0.04 ,28615.00 ,9.00 ,5.26 ,27009.00 ,9.00 ,-1.02 ,29014.00 ,9.00 ,0.36 ,11059.00 ,4.00 ,29.22 ,7490.00 ,3.00 ,55.46 ,1132.00 ,1.00 
E01000856,Camden 019A,E09000007,Camden,31.40 ,7345.00 ,3.00 ,0.21 ,6115.00 ,2.00 ,0.13 ,8413.00 ,3.00 ,13.09 ,18958.00 ,6.00 ,0.45 ,9671.00 ,3.00 ,1.31 ,1714.00 ,1.00 ,22.52 ,13726.00 ,5.00 ,32.37 ,7539.00 ,3.00 
E01000857,Camden 018A,E09000007,Camden,14.85 ,19069.00 ,6.00 ,0.13 ,12128.00 ,4.00 ,0.09 ,14607.00 ,5.00 ,2.70 ,30103.00 ,10.00 ,-0.49 ,23320.00 ,8.00 ,-0.19 ,19446.00 ,6.00 ,16.04 ,21610.00 ,7.00 ,27.21 ,10410.00 ,4.00 
E01000858,Camden 018B,E09000007,Camden,37.66 ,4987.00 ,2.00 ,0.26 ,3559.00 ,2.00 ,0.17 ,5312.00 ,2.00 ,13.07 ,18976.00 ,6.00 ,0.33 ,11236.00 ,4.00 ,1.81 ,405.00 ,1.00 ,25.21 ,10906.00 ,4.00 ,27.86 ,10045.00 ,4.00 
E01000859,Camden 018C,E09000007,Camden,7.22 ,28039.00 ,9.00 ,0.05 ,26241.00 ,8.00 ,0.04 ,26595.00 ,9.00 ,3.37 ,29294.00 ,9.00 ,-1.57 ,31915.00 ,10.00 ,-0.30 ,21015.00 ,7.00 ,16.51 ,21028.00 ,7.00 ,29.59 ,9051.00 ,3.00 
E01000860,Camden 018D,E09000007,Camden,17.70 ,16393.00 ,5.00 ,0.16 ,9299.00 ,3.00 ,0.07 ,18971.00 ,6.00 ,5.57 ,26645.00 ,9.00 ,-0.61 ,24814.00 ,8.00 ,0.21 ,13285.00 ,5.00 ,24.94 ,11175.00 ,4.00 ,31.22 ,8147.00 ,3.00 
E01000861,Camden 019B,E09000007,Camden,33.50 ,6470.00 ,2.00 ,0.18 ,8227.00 ,3.00 ,0.13 ,8660.00 ,3.00 ,4.65 ,27733.00 ,9.00 ,0.21 ,12887.00 ,4.00 ,1.74 ,505.00 ,1.00 ,25.48 ,10667.00 ,4.00 ,54.96 ,1193.00 ,1.00 
E01000862,Camden 018E,E09000007,Camden,10.86 ,23485.00 ,8.00 ,0.05 ,27159.00 ,9.00 ,0.04 ,28745.00 ,9.00 ,0.97 ,32046.00 ,10.00 ,-1.32 ,30977.00 ,10.00 ,0.98 ,3722.00 ,2.00 ,18.17 ,18909.00 ,6.00 ,34.33 ,6532.00 ,2.00 
E01000863,Camden 021A,E09000007,Camden,34.37 ,6114.00 ,2.00 ,0.16 ,9758.00 ,3.00 ,0.14 ,7814.00 ,3.00 ,12.97 ,19076.00 ,6.00 ,0.70 ,6888.00 ,3.00 ,1.70 ,571.00 ,1.00 ,27.06 ,9209.00 ,3.00 ,42.26 ,3599.00 ,2.00 
E01000864,Camden 015A,E09000007,Camden,17.93 ,16182.00 ,5.00 ,0.11 ,14899.00 ,5.00 ,0.08 ,16281.00 ,5.00 ,2.49 ,30327.00 ,10.00 ,-0.60 ,24737.00 ,8.00 ,0.66 ,6966.00 ,3.00 ,26.69 ,9575.00 ,3.00 ,35.13 ,6179.00 ,2.00 
E01000865,Camden 015B,E09000007,Camden,13.24 ,20799.00 ,7.00 ,0.06 ,23464.00 ,8.00 ,0.05 ,26045.00 ,8.00 ,2.63 ,30190.00 ,10.00 ,-0.26 ,19996.00 ,7.00 ,0.42 ,10136.00 ,4.00 ,21.31 ,15126.00 ,5.00 ,42.02 ,3658.00 ,2.00 
E01000866,Camden 009A,E09000007,Camden,22.43 ,12432.00 ,4.00 ,0.15 ,10424.00 ,4.00 ,0.11 ,11343.00 ,4.00 ,3.61 ,28994.00 ,9.00 ,-0.34 ,21252.00 ,7.00 ,0.36 ,10964.00 ,4.00 ,23.40 ,12758.00 ,4.00 ,47.26 ,2396.00 ,1.00 
E01000867,Camden 015C,E09000007,Camden,28.40 ,8822.00 ,3.00 ,0.22 ,5547.00 ,2.00 ,0.12 ,9425.00 ,3.00 ,21.64 ,12784.00 ,4.00 ,-0.08 ,17222.00 ,6.00 ,0.40 ,10451.00 ,4.00 ,24.80 ,11322.00 ,4.00 ,37.23 ,5297.00 ,2.00 
E01000868,Camden 015D,E09000007,Camden,39.29 ,4488.00 ,2.00 ,0.25 ,4088.00 ,2.00 ,0.18 ,4288.00 ,2.00 ,17.97 ,15155.00 ,5.00 ,0.45 ,9688.00 ,3.00 ,0.67 ,6828.00 ,3.00 ,31.53 ,5951.00 ,2.00 ,52.00 ,1578.00 ,1.00 
E01000869,Camden 015E,E09000007,Camden,22.14 ,12664.00 ,4.00 ,0.16 ,9484.00 ,3.00 ,0.10 ,12214.00 ,4.00 ,5.69 ,26513.00 ,9.00 ,0.04 ,15470.00 ,5.00 ,0.40 ,10405.00 ,4.00 ,23.23 ,12948.00 ,4.00 ,35.94 ,5835.00 ,2.00 
E01000870,Camden 009B,E09000007,Camden,26.83 ,9686.00 ,3.00 ,0.19 ,7597.00 ,3.00 ,0.14 ,7314.00 ,3.00 ,7.51 ,24472.00 ,8.00 ,-0.04 ,16551.00 ,6.00 ,0.66 ,6977.00 ,3.00 ,21.68 ,14684.00 ,5.00 ,39.03 ,4609.00 ,2.00 
E01000871,Camden 005A,E09000007,Camden,14.24 ,19707.00 ,7.00 ,0.11 ,15351.00 ,5.00 ,0.07 ,20050.00 ,7.00 ,4.36 ,28079.00 ,9.00 ,-1.25 ,30616.00 ,10.00 ,0.87 ,4686.00 ,2.00 ,18.76 ,18152.00 ,6.00 ,22.97 ,13146.00 ,5.00 
E01000872,Camden 005B,E09000007,Camden,24.31 ,11176.00 ,4.00 ,0.16 ,9914.00 ,4.00 ,0.11 ,10964.00 ,4.00 ,8.80 ,23082.00 ,8.00 ,0.00 ,16080.00 ,5.00 ,0.82 ,5219.00 ,2.00 ,24.27 ,11862.00 ,4.00 ,35.74 ,5926.00 ,2.00 
E01000873,Camden 005C,E09000007,Camden,8.62 ,26279.00 ,9.00 ,0.07 ,20918.00 ,7.00 ,0.05 ,24022.00 ,8.00 ,8.39 ,23543.00 ,8.00 ,-0.94 ,28325.00 ,9.00 ,-0.45 ,23158.00 ,8.00 ,14.57 ,23584.00 ,8.00 ,22.09 ,13789.00 ,5.00 
E01000874,Camden 005D,E09000007,Camden,4.91 ,30591.00 ,10.00 ,0.04 ,29813.00 ,10.00 ,0.03 ,31262.00 ,10.00 ,2.62 ,30209.00 ,10.00 ,-1.49 ,31669.00 ,10.00 ,-0.65 ,25643.00 ,8.00 ,13.58 ,24717.00 ,8.00 ,29.47 ,9114.00 ,3.00 
E01000875,Camden 013A,E09000007,Camden,21.84 ,12887.00 ,4.00 ,0.16 ,9775.00 ,3.00 ,0.10 ,12340.00 ,4.00 ,13.15 ,18913.00 ,6.00 ,-0.45 ,22771.00 ,7.00 ,0.84 ,5030.00 ,2.00 ,22.72 ,13510.00 ,5.00 ,25.82 ,11281.00 ,4.00 
E01000876,Camden 013B,E09000007,Camden,29.94 ,8051.00 ,3.00 ,0.22 ,5318.00 ,2.00 ,0.15 ,6898.00 ,3.00 ,15.35 ,17080.00 ,6.00 ,0.43 ,9889.00 ,4.00 ,0.44 ,9905.00 ,4.00 ,26.76 ,9505.00 ,3.00 ,26.47 ,10894.00 ,4.00 
E01000877,Camden 005E,E09000007,Camden,11.16 ,23154.00 ,8.00 ,0.08 ,19085.00 ,6.00 ,0.07 ,20015.00 ,7.00 ,4.78 ,27571.00 ,9.00 ,-0.54 ,23955.00 ,8.00 ,-0.40 ,22385.00 ,7.00 ,17.51 ,19781.00 ,7.00 ,28.08 ,9905.00 ,4.00 
E01000878,Camden 004A,E09000007,Camden,5.65 ,29860.00 ,10.00 ,0.05 ,26800.00 ,9.00 ,0.02 ,31928.00 ,10.00 ,6.73 ,25333.00 ,8.00 ,-1.82 ,32413.00 ,10.00 ,-0.69 ,26140.00 ,8.00 ,18.39 ,18626.00 ,6.00 ,23.33 ,12904.00 ,4.00 
E01000879,Camden 004B,E09000007,Camden,5.88 ,29597.00 ,10.00 ,0.04 ,29327.00 ,9.00 ,0.03 ,31036.00 ,10.00 ,3.90 ,28645.00 ,9.00 ,-2.08 ,32659.00 ,10.00 ,-0.30 ,21113.00 ,7.00 ,15.67 ,22114.00 ,7.00 ,30.51 ,8513.00 ,3.00 
E01000880,Camden 004C,E09000007,Camden,6.11 ,29333.00 ,9.00 ,0.04 ,29715.00 ,10.00 ,0.03 ,31314.00 ,10.00 ,1.51 ,31445.00 ,10.00 ,-2.26 ,32748.00 ,10.00 ,-0.41 ,22550.00 ,7.00 ,21.46 ,14944.00 ,5.00 ,30.17 ,8709.00 ,3.00 
E01000881,Camden 008A,E09000007,Camden,13.43 ,20586.00 ,7.00 ,0.09 ,17216.00 ,6.00 ,0.06 ,21132.00 ,7.00 ,11.73 ,20215.00 ,7.00 ,-1.24 ,30532.00 ,10.00 ,-0.22 ,19869.00 ,7.00 ,22.96 ,13259.00 ,5.00 ,33.61 ,6894.00 ,3.00 
E01000882,Camden 008B,E09000007,Camden,4.32 ,31192.00 ,10.00 ,0.02 ,32407.00 ,10.00 ,0.01 ,32701.00 ,10.00 ,1.09 ,31917.00 ,10.00 ,-2.29 ,32757.00 ,10.00 ,-0.69 ,26068.00 ,8.00 ,16.75 ,20748.00 ,7.00 ,29.53 ,9082.00 ,3.00 
E01000883,Camden 008C,E09000007,Camden,9.54 ,25075.00 ,8.00 ,0.05 ,26239.00 ,8.00 ,0.03 ,31142.00 ,10.00 ,1.81 ,31090.00 ,10.00 ,-1.60 ,31989.00 ,10.00 ,0.49 ,9213.00 ,3.00 ,23.20 ,12993.00 ,4.00 ,33.87 ,6756.00 ,3.00 
E01000884,Camden 004D,E09000007,Camden,5.27 ,30248.00 ,10.00 ,0.04 ,29565.00 ,10.00 ,0.04 ,28368.00 ,9.00 ,1.07 ,31935.00 ,10.00 ,-2.00 ,32601.00 ,10.00 ,-0.67 ,25836.00 ,8.00 ,20.45 ,16128.00 ,5.00 ,22.63 ,13385.00 ,5.00 
E01000885,Camden 004E,E09000007,Camden,7.03 ,28290.00 ,9.00 ,0.04 ,29357.00 ,9.00 ,0.02 ,32074.00 ,10.00 ,6.52 ,25577.00 ,8.00 ,-2.04 ,32637.00 ,10.00 ,-0.21 ,19745.00 ,7.00 ,24.56 ,11569.00 ,4.00 ,26.37 ,10944.00 ,4.00 
E01000886,Camden 006A,E09000007,Camden,9.13 ,25622.00 ,8.00 ,0.08 ,20396.00 ,7.00 ,0.05 ,23895.00 ,8.00 ,3.93 ,28613.00 ,9.00 ,-1.49 ,31677.00 ,10.00 ,-0.25 ,20363.00 ,7.00 ,15.51 ,22350.00 ,7.00 ,29.93 ,8858.00 ,3.00 
E01000887,Camden 006B,E09000007,Camden,13.06 ,20985.00 ,7.00 ,0.09 ,17838.00 ,6.00 ,0.07 ,19243.00 ,6.00 ,6.06 ,26108.00 ,8.00 ,-0.86 ,27641.00 ,9.00 ,0.47 ,9554.00 ,3.00 ,18.07 ,19030.00 ,6.00 ,26.30 ,10992.00 ,4.00 
E01000888,Camden 006C,E09000007,Camden,14.58 ,19356.00 ,6.00 ,0.09 ,17438.00 ,6.00 ,0.08 ,16252.00 ,5.00 ,6.51 ,25591.00 ,8.00 ,-0.75 ,26411.00 ,9.00 ,0.35 ,11208.00 ,4.00 ,18.19 ,18878.00 ,6.00 ,31.58 ,7947.00 ,3.00 
E01000889,Camden 007A,E09000007,Camden,30.87 ,7620.00 ,3.00 ,0.23 ,5054.00 ,2.00 ,0.17 ,5078.00 ,2.00 ,24.41 ,11132.00 ,4.00 ,0.42 ,10124.00 ,4.00 ,0.20 ,13571.00 ,5.00 ,18.76 ,18159.00 ,6.00 ,26.26 ,11013.00 ,4.00 
E01000890,Camden 007B,E09000007,Camden,40.88 ,4006.00 ,2.00 ,0.29 ,2402.00 ,1.00 ,0.23 ,2021.00 ,1.00 ,33.65 ,7225.00 ,3.00 ,0.62 ,7763.00 ,3.00 ,0.40 ,10386.00 ,4.00 ,21.66 ,14706.00 ,5.00 ,20.23 ,15105.00 ,5.00 
E01000891,Camden 007C,E09000007,Camden,38.28 ,4795.00 ,2.00 ,0.28 ,2965.00 ,1.00 ,0.19 ,3664.00 ,2.00 ,29.55 ,8763.00 ,3.00 ,0.50 ,9144.00 ,3.00 ,0.79 ,5564.00 ,2.00 ,26.18 ,10012.00 ,4.00 ,20.13 ,15187.00 ,5.00 
