LSOA code (2011),LSOA name (2011),Local Authority District code (2019),Local Authority District name (2019),IMD,Index of Multiple Deprivation (IMD) Rank (where 1 is most deprived),Index of Multiple Deprivation (IMD) Decile (where 1 is most deprived 10% of LSOAs),Income Score (rate),Income Rank (where 1 is most deprived),Income Decile (where 1 is most deprived 10% of LSOAs),Employment Score (rate),Employment Rank (where 1 is most deprived),Employment Decile (where 1 is most deprived 10% of LSOAs),"Education, Skills and Training Score","Education, Skills and Training Rank (where 1 is most deprived)","Education, Skills and Training Decile (where 1 is most deprived 10% of LSOAs)",Health Deprivation and Disability Score,Health Deprivation and Disability Rank (where 1 is most deprived),Health Deprivation and Disability Decile (where 1 is most deprived 10% of LSOAs),Crime Score,Crime Rank (where 1 is most deprived),Crime Decile (where 1 is most deprived 10% of LSOAs),Barriers to Housing and Services Score,Barriers to Housing and Services Rank (where 1 is most deprived),Barriers to Housing and Services Decile (where 1 is most deprived 10% of LSOAs),Living Environment Score,Living Environment Rank (where 1 is most deprived),Living Environment Decile (where 1 is most deprived 10% of LSOAs)
E01003611,Newham 037C,E09000025,Newham,31.40 ,7348.00 ,3.00 ,0.25 ,4096.00 ,2.00 ,0.13 ,8080.00 ,3.00 ,18.53 ,14751.00 ,5.00 ,0.22 ,12760.00 ,4.00 ,-0.44 ,23042.00 ,8.00 ,45.51 ,970.00 ,1.00 ,15.61 ,18733.00 ,6.00 
E01003615,Newham 013C,E09000025,Newham,27.33 ,9394.00 ,3.00 ,0.17 ,9222.00 ,3.00 ,0.09 ,13828.00 ,5.00 ,12.31 ,19654.00 ,6.00 ,0.20 ,13118.00 ,4.00 ,0.13 ,14728.00 ,5.00 ,47.21 ,675.00 ,1.00 ,33.45 ,6979.00 ,3.00 
E01003616,Newham 012A,E09000025,Newham,29.41 ,8296.00 ,3.00 ,0.17 ,9201.00 ,3.00 ,0.09 ,15157.00 ,5.00 ,16.73 ,16024.00 ,5.00 ,0.23 ,12657.00 ,4.00 ,1.00 ,3557.00 ,2.00 ,45.30 ,1004.00 ,1.00 ,29.86 ,8901.00 ,3.00 
E01003617,Newham 012B,E09000025,Newham,30.04 ,8005.00 ,3.00 ,0.14 ,11493.00 ,4.00 ,0.07 ,18476.00 ,6.00 ,10.90 ,20988.00 ,7.00 ,-0.24 ,19773.00 ,7.00 ,1.27 ,1880.00 ,1.00 ,49.21 ,427.00 ,1.00 ,47.79 ,2293.00 ,1.00 
E01003618,Newham 012C,E09000025,Newham,26.80 ,9706.00 ,3.00 ,0.12 ,13549.00 ,5.00 ,0.06 ,21537.00 ,7.00 ,10.81 ,21076.00 ,7.00 ,-0.29 ,20513.00 ,7.00 ,1.06 ,3032.00 ,1.00 ,44.21 ,1206.00 ,1.00 ,52.45 ,1509.00 ,1.00 
E01003619,Newham 012D,E09000025,Newham,35.30 ,5784.00 ,2.00 ,0.19 ,7028.00 ,3.00 ,0.10 ,13081.00 ,4.00 ,10.21 ,21626.00 ,7.00 ,0.64 ,7462.00 ,3.00 ,0.90 ,4435.00 ,2.00 ,52.99 ,107.00 ,1.00 ,40.13 ,4227.00 ,2.00 
E01003621,Newham 023C,E09000025,Newham,23.08 ,12000.00 ,4.00 ,0.15 ,10721.00 ,4.00 ,0.06 ,20516.00 ,7.00 ,22.00 ,12543.00 ,4.00 ,-0.24 ,19758.00 ,7.00 ,-0.16 ,19047.00 ,6.00 ,46.88 ,732.00 ,1.00 ,25.73 ,11334.00 ,4.00 
E01003622,Newham 023D,E09000025,Newham,33.74 ,6357.00 ,2.00 ,0.18 ,8216.00 ,3.00 ,0.12 ,10265.00 ,4.00 ,23.28 ,11741.00 ,4.00 ,0.02 ,15669.00 ,5.00 ,0.90 ,4382.00 ,2.00 ,50.62 ,254.00 ,1.00 ,32.42 ,7508.00 ,3.00 
E01003623,Newham 023E,E09000025,Newham,31.39 ,7356.00 ,3.00 ,0.18 ,8078.00 ,3.00 ,0.12 ,9989.00 ,4.00 ,25.28 ,10683.00 ,4.00 ,0.11 ,14299.00 ,5.00 ,0.41 ,10267.00 ,4.00 ,48.63 ,493.00 ,1.00 ,26.28 ,11003.00 ,4.00 
E01003624,Newham 024E,E09000025,Newham,31.65 ,7229.00 ,3.00 ,0.20 ,6936.00 ,3.00 ,0.12 ,9766.00 ,3.00 ,23.38 ,11690.00 ,4.00 ,0.11 ,14420.00 ,5.00 ,0.41 ,10250.00 ,4.00 ,47.34 ,651.00 ,1.00 ,26.58 ,10821.00 ,4.00 
